TICKER,PERIOD,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
^SPX,5,20220915,175000,3917.29,3917.29,3909.74,3909.74,17187958,0
^SPX,5,20220915,175500,3909.57,3910.57,3904.45,3909.35,16382901,0
^SPX,5,20220915,180000,3909.44,3913.26,3908.42,3910.89,17094710,0
^SPX,5,20220915,180500,3910.6,3910.6,3905.88,3905.93,16925921,0
^SPX,5,20220915,181000,3905.69,3906.53,3902.72,3903.88,14845179,0
^SPX,5,20220915,181500,3903.67,3909.52,3903.67,3909.05,14733460,0
^SPX,5,20220915,182000,3909.69,3909.92,3905.54,3907.99,13110626,0
^SPX,5,20220915,182500,3908.06,3910.47,3905.51,3905.61,12487000,0
^SPX,5,20220915,183000,3906.14,3913.54,3906.11,3913.17,13551937,0
^SPX,5,20220915,183500,3913.67,3915.85,3912.97,3915.27,12736389,0
^SPX,5,20220915,184000,3915.14,3919.7,3915.14,3917.3,12632126,0
^SPX,5,20220915,184500,3917.22,3917.56,3914.77,3917.21,10956177,0
^SPX,5,20220915,185000,3917.19,3919.17,3917.15,3917.93,11103918,0
^SPX,5,20220915,185500,3917.23,3921.27,3915.58,3921.27,13377698,0
^SPX,5,20220915,190000,3921.57,3938.12,3921.57,3935.11,24816764,0
^SPX,5,20220915,190500,3935.01,3938.92,3935.01,3936.89,14669993,0
^SPX,5,20220915,191000,3937.35,3937.57,3934.53,3935.73,12482561,0
^SPX,5,20220915,191500,3937.45,3941.98,3936.06,3941.28,16247213,0
^SPX,5,20220915,192000,3940.48,3942.52,3938.97,3942.02,14328632,0
^SPX,5,20220915,192500,3941.39,3944.94,3940.1,3940.71,14839279,0
^SPX,5,20220915,193000,3940.4,3941,3937.43,3939.17,14051152,0
^SPX,5,20220915,193500,3939.1,3939.26,3932.9,3934.78,15238439,0
^SPX,5,20220915,194000,3934.98,3936.16,3932.14,3932.36,12530441,0
^SPX,5,20220915,194500,3932.44,3932.7,3928.22,3929.6,13864091,0
^SPX,5,20220915,195000,3929.17,3929.17,3925.44,3927.85,12444265,0
^SPX,5,20220915,195500,3927.58,3929.69,3926.88,3928.74,10809551,0
^SPX,5,20220915,200000,3928.76,3928.76,3916.24,3916.8,17510361,0
^SPX,5,20220915,200500,3916.35,3918.26,3913.11,3915.15,13585478,0
^SPX,5,20220915,201000,3915.19,3920.28,3914.43,3918.03,14784580,0
^SPX,5,20220915,201500,3918.22,3922.43,3916.52,3921.66,12353955,0
^SPX,5,20220915,202000,3920.82,3920.82,3916.89,3918.28,12061419,0
^SPX,5,20220915,202500,3918.24,3922.58,3917.35,3922.52,11699841,0
^SPX,5,20220915,203000,3922.52,3926.12,3920.61,3920.61,13748386,0
^SPX,5,20220915,203500,3920.15,3924.64,3918.2,3922.65,12642077,0
^SPX,5,20220915,204000,3922.81,3922.9,3917.05,3920.12,11770690,0
^SPX,5,20220915,204500,3920.18,3920.23,3910.4,3910.4,13698824,0
^SPX,5,20220915,205000,3910.02,3913.31,3908,3913.31,14993650,0
^SPX,5,20220915,205500,3913.27,3913.27,3908.65,3908.89,13184842,0
^SPX,5,20220915,210000,3909.87,3910.75,3905.62,3907.79,16588413,0
^SPX,5,20220915,210500,3908.03,3909.25,3904.36,3904.36,17255739,0
^SPX,5,20220915,211000,3904.27,3904.27,3895.53,3896.12,21003339,0
^SPX,5,20220915,211500,3896.94,3898.59,3892.67,3893.94,21889747,0
^SPX,5,20220915,212000,3893.94,3896.62,3891.54,3896.62,21812161,0
^SPX,5,20220915,212500,3897.49,3897.52,3888.45,3890.92,22733406,0
^SPX,5,20220915,213000,3890.12,3895.44,3889.2,3891.22,25576736,0
^SPX,5,20220915,213500,3891.47,3895.78,3890.99,3895.57,23636617,0
^SPX,5,20220915,214000,3895.43,3899.15,3892.28,3897.7,30449999,0
^SPX,5,20220915,214500,3897.16,3902.69,3896.07,3900.3,36951599,0
^SPX,5,20220915,215000,3904.54,3908.79,3895.27,3901.58,62378386,0
^SPX,5,20220915,215500,3903.08,3907.53,3901.27,3901.35,362836948,0
^SPX,5,20220916,153000,3867.98,3867.98,3850.63,3852.34,329624084,0
^SPX,5,20220916,153500,3850.27,3855.99,3848.07,3855.99,43023057,0
^SPX,5,20220916,154000,3858.04,3858.04,3845.58,3847.04,31226660,0
^SPX,5,20220916,154500,3847,3852.65,3844.62,3845.88,34127628,0
^SPX,5,20220916,155000,3846.36,3850.68,3843.35,3844.33,27863154,0
^SPX,5,20220916,155500,3844.19,3845.47,3837.6,3840.61,24974688,0
^SPX,5,20220916,160000,3840.98,3847.55,3840.98,3844.46,31491928,0
^SPX,5,20220916,160500,3843.77,3857.24,3843.42,3849.22,27973602,0
^SPX,5,20220916,161000,3849.75,3867.27,3849.75,3864.05,29181665,0
^SPX,5,20220916,161500,3864.22,3865.62,3857.33,3857.39,23825635,0
^SPX,5,20220916,162000,3857.43,3862.76,3854.21,3861.35,22212683,0
^SPX,5,20220916,162500,3861.91,3864.25,3857.27,3857.27,21217489,0
^SPX,5,20220916,163000,3858.55,3867.23,3858.51,3866.88,25597931,0
^SPX,5,20220916,163500,3867.55,3873.87,3865.17,3866.52,24063609,0
^SPX,5,20220916,164000,3866.99,3870.83,3861.65,3861.65,18817792,0
^SPX,5,20220916,164500,3861.31,3863.2,3854.27,3854.8,19548158,0
^SPX,5,20220916,165000,3854.82,3862.29,3854.62,3859.19,19857913,0
^SPX,5,20220916,165500,3858.94,3858.97,3850.99,3851.77,19350451,0
^SPX,5,20220916,170000,3851.13,3855.41,3850.5,3852.87,17753343,0
^SPX,5,20220916,170500,3852.16,3858.03,3851.96,3854.92,17334724,0
^SPX,5,20220916,171000,3853.96,3854.17,3850.15,3852.54,16525981,0
^SPX,5,20220916,171500,3852.25,3861.22,3851,3860.5,18219794,0
^SPX,5,20220916,172000,3859.26,3859.26,3851.56,3852.83,14731360,0
^SPX,5,20220916,172500,3852.7,3855.17,3850.12,3850.91,15116311,0
^SPX,5,20220916,173000,3850.73,3854.14,3849.15,3852.68,16456553,0
^SPX,5,20220916,173500,3853.28,3854.59,3844.92,3845.2,15729513,0
^SPX,5,20220916,174000,3845.43,3850.02,3845.39,3849.39,13291768,0
^SPX,5,20220916,174500,3848.71,3849.85,3846.88,3849.71,12695877,0
^SPX,5,20220916,175000,3849.71,3855.15,3848.58,3854.03,15801488,0
^SPX,5,20220916,175500,3854.39,3858.78,3853.02,3858.35,15393185,0
^SPX,5,20220916,180000,3858.69,3858.69,3852.49,3853.61,12658898,0
^SPX,5,20220916,180500,3853.55,3855.89,3848.58,3848.58,14500832,0
^SPX,5,20220916,181000,3848.6,3850.42,3846.7,3847.16,13526416,0
^SPX,5,20220916,181500,3846.91,3848.34,3842.1,3844.73,15667692,0
^SPX,5,20220916,182000,3844.65,3844.65,3839.62,3840.48,17350825,0
^SPX,5,20220916,182500,3840.31,3841.18,3837.23,3838.99,14943439,0
^SPX,5,20220916,183000,3838.81,3841.97,3838.28,3840.49,15531780,0
^SPX,5,20220916,183500,3840.83,3842.36,3838.9,3840.03,14194635,0
^SPX,5,20220916,184000,3840.32,3846.91,3840.32,3846.81,14208267,0
^SPX,5,20220916,184500,3846.21,3848.69,3844.1,3848.68,14042091,0
^SPX,5,20220916,185000,3848.89,3851.04,3847.63,3847.85,13627695,0
^SPX,5,20220916,185500,3847.97,3851.11,3847.09,3850.66,13448861,0
^SPX,5,20220916,190000,3850.74,3851.93,3846.06,3846.06,15169032,0
^SPX,5,20220916,190500,3846.6,3847.17,3842.89,3845.33,13964611,0
^SPX,5,20220916,191000,3845.43,3847.32,3843.99,3844.33,11674557,0
^SPX,5,20220916,191500,3844.02,3846.9,3843.31,3845.4,11992511,0
^SPX,5,20220916,192000,3845.07,3846.92,3843.3,3846.06,11801277,0
^SPX,5,20220916,192500,3846.1,3846.41,3842.99,3844.84,10747799,0
^SPX,5,20220916,193000,3844.98,3851.88,3844.61,3845.13,17201216,0
^SPX,5,20220916,193500,3845.12,3853.47,3845.12,3852.17,13882697,0
^SPX,5,20220916,194000,3851.5,3851.5,3848.76,3849.54,13513919,0
^SPX,5,20220916,194500,3848.8,3848.96,3843.8,3844.28,12259586,0
^SPX,5,20220916,195000,3844.26,3844.26,3841.5,3841.65,14000361,0
^SPX,5,20220916,195500,3841.23,3844.83,3840.44,3843.55,13953651,0
^SPX,5,20220916,200000,3843.44,3847.55,3842.7,3847.1,15812593,0
^SPX,5,20220916,200500,3847.36,3848.17,3844.31,3846.17,14189808,0
^SPX,5,20220916,201000,3846.18,3847.41,3843.49,3845.46,15130648,0
^SPX,5,20220916,201500,3845.49,3848.88,3843.51,3844.01,15578185,0
^SPX,5,20220916,202000,3844.26,3847.77,3844.17,3847.5,15256120,0
^SPX,5,20220916,202500,3848.13,3861.21,3848.13,3859.21,29032006,0
^SPX,5,20220916,203000,3858.46,3859.68,3854.08,3859.68,17185583,0
^SPX,5,20220916,203500,3859.87,3861.35,3855.01,3856.6,15190332,0
^SPX,5,20220916,204000,3856.7,3858.6,3852.98,3856.52,15130963,0
^SPX,5,20220916,204500,3856.59,3865.72,3856.47,3864.46,17669944,0
^SPX,5,20220916,205000,3861.52,3866.66,3861.39,3866.51,19594858,0
^SPX,5,20220916,205500,3866.34,3867.17,3862.46,3864.32,19381761,0
^SPX,5,20220916,210000,3864.21,3870.85,3864.14,3870.12,19210741,0
^SPX,5,20220916,210500,3870.25,3876.32,3870.25,3873.75,23059592,0
^SPX,5,20220916,211000,3873.69,3873.71,3864.13,3864.77,22080483,0
^SPX,5,20220916,211500,3864.02,3867.93,3862.17,3862.37,20084030,0
^SPX,5,20220916,212000,3864.13,3875.06,3864.02,3868.67,25537577,0
^SPX,5,20220916,212500,3868.93,3870.08,3862.11,3864.39,23126083,0
^SPX,5,20220916,213000,3864.41,3867.71,3857.82,3862.73,30190758,0
^SPX,5,20220916,213500,3862.47,3870.73,3861.21,3870.3,28753683,0
^SPX,5,20220916,214000,3871.64,3874.78,3869.88,3873.3,37582535,0
