Date,BTC-USD,ETH-USD,^GSPC,EURUSD=X,SI=F,ACAEUO.MI,ACAPER.MI,ACABRT.MI,XMLC.F,XDW0.DE,BRK-A,7309.T,AIGI.MI,WEAT.MI
2018-08-06,6951.7998046875,406.6579895019531,2850.39990234375,1.1558021306991577,15.291999816894531,,,,,31.3799991607666,311806.0,15528.396484375,10.17199993133545,0.6322000026702881
2018-08-07,6753.1201171875,380.2149963378906,2858.449951171875,1.1602946519851685,15.317000389099121,,,,,31.584999084472656,315600.0,15720.2236328125,10.215999603271484,0.628000020980835
2018-08-08,6305.7998046875,356.6130065917969,2857.699951171875,1.1610760688781738,15.37600040435791,,,,,31.190000534057617,315300.0,15777.7705078125,10.321999549865723,0.6284000277519226
2018-08-09,6568.22998046875,365.5880126953125,2853.580078125,1.1523923873901367,15.418999671936035,,,,,31.21500015258789,315100.0,15758.5888671875,10.362000465393066,0.6237999796867371
2018-08-10,6184.7099609375,334.1759948730469,2833.280029296875,,15.265999794006348,,,,,31.31999969482422,312000.0,15796.955078125,10.447999954223633,0.6366999745368958
2018-08-11,6295.72998046875,322.11199951171875,,,,,,,,,,,,
2018-08-12,6322.68994140625,319.57000732421875,,1.1394712924957275,,,,,,,,,,
2018-08-13,6297.56982421875,286.4949951171875,2821.929931640625,1.1402509212493896,14.95300006866455,,,,,31.354999542236328,310230.0,15653.083984375,10.307999610900879,0.6032000184059143
2018-08-14,6199.7099609375,278.9320068359375,2839.9599609375,1.1345715522766113,15.024999618530273,,,,,31.309999465942383,310815.0,15825.728515625,10.220000267028809,0.6029000282287598
2018-08-15,6308.52001953125,282.364013671875,2818.3701171875,1.134429931640625,14.420999526977539,,,,,30.559999465942383,309050.0,16036.740234375,,
2018-08-16,6334.72998046875,288.0459899902344,2840.68994140625,1.1371389627456665,14.696999549865723,,,,,30.540000915527344,313000.0,15979.1884765625,10.043999671936035,0.6079999804496765
2018-08-17,6580.6298828125,315.72900390625,2850.1298828125,,14.616000175476074,,,,,30.454999923706055,313465.0,16113.46875,10.0,0.6202999949455261
2018-08-18,6423.759765625,295.81201171875,,,,,,,,,,,,
2018-08-19,6506.06982421875,300.8340148925781,,1.1437721252441406,,,,,,,,,,
2018-08-20,6308.52978515625,274.31500244140625,2857.050048828125,1.149134635925293,14.654999732971191,,,,,30.725000381469727,314060.0,16362.8447265625,10.09000015258789,0.6097999811172485
2018-08-21,6488.759765625,281.9440002441406,2862.9599609375,1.1576753854751587,14.75100040435791,,,,,30.7549991607666,313725.0,16305.2958984375,10.088000297546387,0.5909000039100647
2018-08-22,6376.7099609375,271.34100341796875,2861.820068359375,1.1584800481796265,14.734999656677246,,,,,30.81999969482422,312400.0,16324.4775390625,10.088000297546387,0.5831999778747559
2018-08-23,6534.8798828125,277.10400390625,2856.97998046875,1.154334545135498,14.527000427246094,,,,,30.725000381469727,311983.0,16266.931640625,9.982999801635742,0.5806999802589417
2018-08-24,6719.9599609375,282.9670104980469,2874.68994140625,,14.779000282287598,,,,,30.985000610351562,312850.0,16314.8876953125,10.140000343322754,0.5705000162124634
2018-08-25,6763.18994140625,279.64599609375,,,,,,,,,,,,
2018-08-26,6707.259765625,275.1969909667969,,1.164890170097351,,,,,,,,,,
2018-08-27,6884.64013671875,285.6029968261719,2896.739990234375,1.1683608293533325,14.843999862670898,,,,,30.940000534057617,316200.0,16487.529296875,10.076000213623047,0.5618000030517578
2018-08-28,7096.27978515625,296.4989929199219,2897.52001953125,1.1691256761550903,14.767000198364258,,,,,30.81999969482422,317124.0,16401.20703125,10.163999557495117,0.5544000267982483
